LTS0003157,Cc1ccc2ccccc2n1,CHEMBL4159530,FC(F)(F)c1nc2c(Br)cccc2c(Cl)c1Br
LTS0200644,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,CHEMBL59589,O=c1cc(-c2ccccc2F)oc2cc(O)cc(O)c12
CNP0410842,CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
CNP0209962,Nc1c2c(nc3ccccc13)CCCC2,CHEMBL61533,Nc1c2c(nc3cc(F)ccc13)CCCC2
CNP0443519.1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,CHEMBL1253310,COC(=O)[C@H](c1ccccc1F)[C@H]1CCCCN1
CNP0299776,CC(=O)Nc1ccccc1,CHEMBL1240997,O=C(Nc1ccc(F)cc1)C(Cl)Cl
CNP0443519.1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,CHEMBL1253736,COC(=O)[C@H](c1cccc(Br)c1)[C@H]1CCCCN1
LTS0213634,Oc1cccc2cccnc12,CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12
CNP0029119,Cc1ccc2cccc(O)c2n1,CHEMBL1394319,Cc1ccc2c(Br)cc(Br)c(O)c2n1
CNP0340938.3,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,CHEMBL891,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
LTS0036677,Cc1cc(=O)oc2cc(O)ccc12,CHEMBL601341,O=c1cc(C(F)(F)F)c2cc(Cl)c(O)cc2o1
CNP0264452,Cc1onc(O)c1CC(N)C(=O)O,CHEMBL608555,Br.Cc1onc(O)c1CC(N)C(=O)O
CNP0381096,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,CHEMBL388590,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
CNP0288378,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,CHEMBL82885,O=C1C=C(Nc2ccc(F)c(F)c2F)C(=O)c2ccccc21
CNP0436884,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL1079742,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl
LTS0169380,NC[C@H](O)c1ccc(O)c(O)c1,CHEMBL40317,NC[C@H](O)c1cc(O)c(O)cc1F
CNP0085148,O=C(Nc1ccccc1)NC1CCCCC1,CHEMBL3661387,O=C(Nc1ccc(Br)cc1)NC1CCCCC1
CNP0366188,CC(C)Cc1ccc(C(C)C(=O)NCc2ccccc2)cc1,CHEMBL4740745,CC(C)Cc1ccc(C(C)C(=O)NCc2ccc(F)cc2)cc1
CNP0085148,O=C(Nc1ccccc1)NC1CCCCC1,CHEMBL192293,O=C(Nc1cccc(Cl)c1)NC1CCCCC1
CNP0350099,COc1ccc(OC)c(CC(C)N)c1,CHEMBL6607,COc1cc(CC(C)N)c(OC)cc1Br
